City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,sierra grande,-41.606,-65.3557,17.53,41,88,12.29,AR,1684857702
269,port saint john's,-31.6229,29.5448,18.13,71,73,3.87,ZA,1684857704
270,yichun,47.7,128.9,13.22,42,27,2.3,CN,1684857704
271,brookings,44.3114,-96.7984,25.61,56,0,0.89,US,1684857704
272,kavaratti,10.5669,72.642,29.86,68,85,2.35,IN,1684857705
273,coxen hole,16.3244,-86.5366,28.6,70,20,3.09,HN,1684857705
274,macgregor,49.9661,-98.7794,21.96,52,95,8.94,CA,1684857706
275,warrnambool,-38.3833,142.4833,11.73,79,50,6.01,AU,1684857706
276,santa isabel,-23.3156,-46.2214,24.61,47,1,1.59,BR,1684857707
277,new amsterdam,6.25,-57.5167,28.56,77,98,2.05,GY,1684857707
278,san antonio de pale,-1.4014,5.6325,26.65,81,100,3.87,GQ,1684857687
279,champua,22.0833,85.6667,34.53,21,59,2.63,IN,1684857708
280,villa gesell,-37.2639,-56.973,18.36,83,97,2.73,AR,1684857616
281,new plymouth,-39.0667,174.0833,14.34,95,46,2.88,NZ,1684857708
282,arraial do cabo,-22.9661,-42.0278,25.98,65,75,5.14,BR,1684857709
283,ellsworth,44.5434,-68.4195,19.51,56,0,2.06,US,1684857709
284,sirte,31.2089,16.5887,20.91,70,89,8.48,LY,1684857709
285,crane,31.3974,-102.3501,27.13,39,0,5.55,US,1684857709
286,morada nova,-5.1067,-38.3725,30.74,53,99,4.4,BR,1684857715
287,harstad,68.799,16.5293,7.66,98,100,4.02,NO,1684857715
288,illapel,-31.6308,-71.1653,19.32,42,100,2.55,CL,1684857720
289,nchelenge,-9.3451,28.734,25.02,65,69,0.95,ZM,1684857721
290,jwaneng,-24.6004,24.7303,20.74,19,1,2.93,BW,1684857723
291,aasiaat,68.7098,-52.8699,-2.36,80,100,8.79,GL,1684857725
292,waddan,29.1614,16.139,34.92,9,98,5.98,LY,1684857727
293,celestun,20.8667,-90.4,29.05,62,20,1.92,MX,1684857728
294,andovoranto,-18.95,49.1,22.88,88,6,2.27,MG,1684857729
295,marand,38.4329,45.7749,20.52,42,31,1.4,IR,1684857730
296,chake chake,-5.2459,39.7666,24.93,84,7,3.14,TZ,1684857731
297,partur,19.6,76.2167,37.91,19,81,3.66,IN,1684857734
298,port alfred,-33.5906,26.891,16.21,73,13,3.53,ZA,1684857735
299,dwarka,22.2394,68.9678,28.63,83,28,7.84,IN,1684857736
300,levuka,50.1834,-105.4011,19.85,68,75,6.17,CA,1684857737
301,emerald,-23.5333,148.1667,11.3,52,0,2.8,AU,1684857738
302,yanbu,24.0891,38.0637,35.02,28,0,6.69,SA,1684857739
303,kourou,5.1552,-52.6478,31.03,77,87,3.06,GF,1684857740
304,lorengau,-2.0226,147.2712,26.69,87,100,8.58,PG,1684857742
305,the pas,53.8251,-101.2541,8.01,53,75,7.2,CA,1684857744
306,kapuskasing,49.4169,-82.4331,16.05,59,100,6.69,CA,1684857745
307,shibetsu,43.659,145.132,3.83,89,48,3.63,JP,1684857746
308,gracias,14.5833,-88.5833,26.81,39,66,1.76,HN,1684857747
309,sao gabriel da cachoeira,-0.1303,-67.0892,26.89,94,40,3.09,BR,1684857749
310,colby,39.3958,-101.0524,17.95,60,47,4.3,US,1684857751
311,ingeniero jacobacci,-41.3427,-69.5448,8.28,41,1,11.64,AR,1684857752
312,calabozo,8.9242,-67.4293,28.55,64,98,3.7,VE,1684857753
313,pamandzi,-12.7967,45.2794,26.88,74,0,5.14,YT,1684857755
314,coquimbo,-29.9533,-71.3436,17.85,51,0,4.63,CL,1684857757
315,sola,-13.8833,167.55,26.72,81,92,9.19,VU,1684857758
316,kavieng,-2.5744,150.7967,26.88,85,99,4.89,PG,1684857760
317,mana,5.6592,-53.7767,28.23,79,99,2.89,GF,1684857761
318,fale old settlement,-9.3852,-171.2468,28.01,72,29,4.55,TK,1684857762
319,guerrero negro,27.9769,-114.0611,17.81,68,89,5.3,MX,1684857762
320,kroya,-7.6331,109.2461,25.02,81,21,1.89,ID,1684857763
321,mahina,-17.5065,-149.489,25.87,83,20,6.17,PF,1684857764
322,barranca,-10.75,-77.7667,22.99,75,99,3.09,PE,1684857765
323,juticalpa,14.65,-86.2,33.08,37,58,0.53,HN,1684857765
324,daru,-9.0763,143.2092,25.71,78,100,7.6,PG,1684857766
325,tarko-sale,64.9225,77.785,4.23,76,50,5.77,RU,1684857766
326,isieke,6.3783,8.0352,31.37,63,92,1.92,NG,1684857767
327,katsuren-haebaru,26.3369,127.8719,22.01,77,6,5.24,JP,1684857767
328,muynoq,43.7683,59.0214,23.62,39,83,7.99,UZ,1684857768
329,tofol,5.3248,163.0078,28.49,79,98,7.39,FM,1684857768
330,sultanpur,26.2667,82.0667,38.32,17,33,2.67,IN,1684857768
331,monaragala,6.8714,81.3487,24.79,88,15,2.2,LK,1684857769
332,znamenskoye,57.1281,73.8282,14.4,46,29,2.58,RU,1684857769
333,gaspe,48.8334,-64.4819,11.12,50,0,5.66,CA,1684857604
334,nivala,63.9167,24.9667,14.27,87,100,2.47,FI,1684857770
335,aurad,18.25,77.4333,34.19,29,63,5.85,IN,1684857770
336,kirensk,57.7853,108.1119,7.25,82,100,1.61,RU,1684857770
337,yadrin,55.9405,46.2062,18.72,63,99,3.87,RU,1684857771
338,sinop,41.7711,34.8709,12.24,98,93,1.82,TR,1684857771
339,rosarito,32.3333,-117.0333,16.38,82,85,2.85,MX,1684857618
340,touros,-5.1989,-35.4608,29.6,62,64,8.06,BR,1684857738
341,saint-joseph,-21.3667,55.6167,23.21,80,97,1.55,RE,1684857777
342,haiku-pauwela,20.9219,-156.3051,23.91,71,23,2.24,US,1684857777
343,songadh,21.1667,73.5667,29.47,58,1,4.63,IN,1684857777
344,yabelo,4.8833,38.0833,16.44,85,79,3.8,ET,1684857777
345,eastham,41.8301,-69.9739,16.71,66,0,2.68,US,1684857778
346,kyabe,9.4515,18.9449,34.69,32,95,2.79,TD,1684857778
347,gobabis,-22.45,18.9667,23.81,17,0,1.48,NA,1684857778
348,riviere-du-loup,47.8304,-69.5342,13.15,33,69,2.57,CA,1684857559
349,shimoda,34.6667,138.95,12.84,88,100,3.15,JP,1684857779
350,kalghatgi,15.1833,74.9667,24.62,74,30,6.25,IN,1684857779
351,melfi,40.9965,15.6514,18.05,70,76,2.11,IT,1684857779
352,smithers,54.7804,-127.1743,10.18,66,75,5.14,CA,1684857352
353,saint-francois,46.4154,3.9054,19.69,68,100,6.69,FR,1684857695
354,bereket,39.2446,55.5154,34.82,19,0,2.88,TM,1684857780
355,koupela,12.1794,-0.3517,36.92,32,69,2.38,BF,1684857780
356,san julian,21.0167,-102.1667,24.12,32,3,2.38,MX,1684857781
357,ceres,37.5949,-120.9577,20.12,54,82,2.33,US,1684857608
358,richards bay,-28.783,32.0377,19.27,76,30,5.23,ZA,1684857781
359,aghajari,30.7006,49.8315,40.12,13,0,5.14,IR,1684857782
360,timimoun,29.2639,0.231,33.21,9,0,1.54,DZ,1684857784
361,martins ferry,40.0959,-80.7245,25.18,43,0,4.12,US,1684857785
362,qaqortoq,60.7167,-46.0333,0.93,77,31,10.6,GL,1684857786
363,zongolica,18.6667,-96.9833,26.59,49,9,2.3,MX,1684857789
